storyline_id,source_label,source_kind,source_port,source_group,source_index_group,choice_index,choice_text_zh,target_label,target_kind,target_port
storyline_001_2921e3d4be,012_C090B_035,PlayVideo_Ordinary,__endPoint,,-1,,,CL100_012_036,ShowChoice,__entryPoint
storyline_001_2921e3d4be,CL100_012_036,ShowChoice,choiceEndPoint,choice,0,0,为她默哀,012_C100A_037,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL100_012_036,ShowChoice,choiceEndPoint,choice,1,1,"饶她一命,让她流放",012_C100B_038,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C100A_037,PlayVideo_Ordinary,__endPoint,,-1,,,012_039,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C100B_038,PlayVideo_Ordinary,__endPoint,,-1,,,012_039,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL110_012_040,ShowChoice,choiceEndPoint,choice,0,0,让他知道你比王皇后更狠,B06_012_C110A_041,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,B06_012_C110A_041,PlayVideo_Ordinary,__endPoint,,-1,,,BE06,EndPoint_BadEnd,__entryPoint
storyline_001_2921e3d4be,CL110_012_040,ShowChoice,choiceEndPoint,choice,1,1,让他知道你比王皇后更好,012_C110B_042,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL130_012_045,ShowChoice,choiceEndPoint,choice,0,0,我相信陛下,012_C130A_046,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL130_012_045,ShowChoice,choiceEndPoint,choice,1,1,"照儿愿助陛下,拿回天子的权力",B14_012_C130B_047,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C130A_046,PlayVideo_Ordinary,__endPoint,,-1,,,012_048,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,B14_012_C130B_047,PlayVideo_Ordinary,__endPoint,,-1,,,012_048,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_048,PlayVideo_Ordinary,__endPoint,,-1,,,CL140_012_049,ShowChoice,__entryPoint
storyline_001_2921e3d4be,CL140_012_049,ShowChoice,choiceEndPoint,choice,0,0,你从来都是我最好的朋友,012_C140A_050,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL140_012_049,ShowChoice,choiceEndPoint,choice,1,1,都过去了,012_C140B_051,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C140A_050,PlayVideo_Ordinary,__endPoint,,-1,,,012_052,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C140B_051,PlayVideo_Ordinary,__endPoint,,-1,,,012_052,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_001,PlayVideo_TraceBack,__endPoint,,-1,,,QL150_012_053,PlayVideo_TraceBack,__entryPoint
storyline_001_2921e3d4be,012_054,PlayVideo_Ordinary,__endPoint,,-1,,,QL010_012_002,PlayVideo_TraceBack,__entryPoint
storyline_001_2921e3d4be,CL080_012_029,ShowChoice,choiceEndPoint,choice,0,0,彻底销毁,012_032,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C020A_005,PlayVideo_Ordinary,__endPoint,,-1,,,CL040_012_009,ShowChoice,__entryPoint
storyline_001_2921e3d4be,012_C110B_042,PlayVideo_Ordinary,__endPoint,,-1,,,CL130_012_045,ShowChoice,__entryPoint
storyline_001_2921e3d4be,CL040_012_009,ShowChoice,choiceEndPoint,choice,0,0,"姐姐,我一定会为你讨回公道的",012_C040A_010,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL040_012_009,ShowChoice,choiceEndPoint,choice,1,1,"姐姐,我一定帮你远离鄙夫",012_C040B_011,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,EntryPoint_SubChapterStart,EntryPoint_SubChapterStart,__endPoint,,-1,,,012_056,PlayVideo_TraceBack,__entryPoint
storyline_001_2921e3d4be,012_056,PlayVideo_TraceBack,__endPoint,,-1,,,CL170_012_057,PlayVideo_TraceBack,__entryPoint
storyline_001_2921e3d4be,012_058,PlayVideo_Ordinary,__endPoint,,-1,,,CL110_012_040,ShowChoice,__entryPoint
storyline_001_2921e3d4be,CL170_012_057,PlayVideo_TraceBack,endPointSuccess,,-1,,,012_058,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,H04_012_C070B_031,PlayVideo_Ordinary,__endPoint,,-1,,,HE04,EndPoint_HappyEnd,__entryPoint
storyline_001_2921e3d4be,012_039,PlayVideo_Ordinary,__endPoint,,-1,,,小结算1,EndPoint_SubChapterReport,__entryPoint
storyline_001_2921e3d4be,QL010_012_002,PlayVideo_TraceBack,endPointSuccess,,-1,,,012_059,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_059,PlayVideo_Ordinary,__endPoint,,-1,,,CL011_012_060,ShowChoice,__entryPoint
storyline_001_2921e3d4be,CL011_012_060,ShowChoice,choiceEndPoint,choice,0,0,默许陛下封你为昭仪,012_C011A_061,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL011_012_060,ShowChoice,choiceEndPoint,choice,1,1,婉言拒绝封你为昭仪,012_C011B_063,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C011A_061,PlayVideo_Ordinary,__endPoint,,-1,,,B07_012_062,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,B07_012_062,PlayVideo_Ordinary,__endPoint,,-1,,,BE07,EndPoint_BadEnd,__entryPoint
storyline_001_2921e3d4be,012_C040A_010,PlayVideo_Ordinary,__endPoint,,-1,,,IF之前选择讨回公道,Function_Storyline_If,__entryPoint
storyline_001_2921e3d4be,012_C040B_011,PlayVideo_Ordinary,__endPoint,,-1,,,IF之前选择讨回公道,Function_Storyline_If,__entryPoint
storyline_001_2921e3d4be,QL150_012_053,PlayVideo_TraceBack,__endPoint,,-1,,,012_054,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C011B_063,PlayVideo_Ordinary,__endPoint,,-1,,,CL020_012_004,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,014_C010A_003,PlayVideo_Ordinary,__endPoint,,-1,,,014_005,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_C010B_004,PlayVideo_Ordinary,__endPoint,,-1,,,014_005,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_005,PlayVideo_Ordinary,__endPoint,,-1,,,IF选项1选择让徐敏慧过来坐你的⻋,Function_Storyline_If,__entryPoint
storyline_002_16cbaf3d79,IF选项1选择让徐敏慧过来坐你的⻋,Function_Storyline_If,endPointTrue,conditionGroup,0,,,014_006,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,IF选项1选择让徐敏慧过来坐你的⻋,Function_Storyline_If,endPointElse,,-1,,,014_007,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_007,PlayVideo_Ordinary,__endPoint,,-1,,,CL020_014_008,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL020_014_008,ShowChoice,choiceEndPoint,choice,0,0,"保母子平安,赏你黄金万两!",B02_014_C020A_009,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL020_014_008,ShowChoice,choiceEndPoint,choice,1,1,"若我出事,必诛你九族!",014_C020B_010,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL020_014_008,ShowChoice,choiceEndPoint,choice,2,2,保母子平安，孩子认你当义母！,B03_014_C020C_011,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_C020B_010,PlayVideo_Ordinary,__endPoint,,-1,,,Q140_014_012,PlayVideo_TraceBack,__entryPoint
storyline_002_16cbaf3d79,B04_014_014,PlayVideo_Ordinary,__endPoint,,-1,,,BE04,EndPoint_BadEnd,__entryPoint
storyline_002_16cbaf3d79,014_013,PlayVideo_Ordinary,__endPoint,,-1,,,CL030_014_015,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL030_014_015,ShowChoice,choiceEndPoint,choice,0,0,"灯下黑,躲进衣柜",B05_014_C030A_016,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL030_014_015,ShowChoice,choiceEndPoint,choice,1,1,"赌一把,从后门冲出去",014_C030B_017,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,B05_014_C030A_016,PlayVideo_Ordinary,__endPoint,,-1,,,BE05,EndPoint_BadEnd,__entryPoint
storyline_002_16cbaf3d79,014_C030B_017,PlayVideo_Ordinary,__endPoint,,-1,,,CL040_014_018,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL040_014_018,ShowChoice,choiceEndPoint,choice,0,0,留着她,014_C040A_019,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL040_014_018,ShowChoice,choiceEndPoint,choice,1,1,让她消失,014_C040B_020,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_C040A_019,PlayVideo_Ordinary,__endPoint,,-1,,,CL060_014_021,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL060_014_021,ShowChoice,choiceEndPoint,choice,0,0,既然他们不让我做宸妃，那我便做皇后吧,014_C060A_022,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_C040B_020,PlayVideo_Ordinary,__endPoint,,-1,,,CL050_014_026,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL050_014_026,ShowChoice,choiceEndPoint,choice,0,0,刺杀,B06_C050_014_027,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL050_014_026,ShowChoice,choiceEndPoint,choice,1,1,下毒,B07_C050_014_028,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,B06_C050_014_027,PlayVideo_Ordinary,__endPoint,,-1,,,BE06,EndPoint_BadEnd,__entryPoint
storyline_002_16cbaf3d79,B07_C050_014_028,PlayVideo_Ordinary,__endPoint,,-1,,,BE07,EndPoint_BadEnd,__entryPoint
storyline_002_16cbaf3d79,EntryPoint_SubChapterStart,EntryPoint_SubChapterStart,__endPoint,,-1,,,014_029,PlayVideo_TraceBack,__entryPoint
storyline_002_16cbaf3d79,014_038,PlayVideo_Ordinary,__endPoint,,-1,,,CL090_014_039,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL090_014_039,ShowChoice,choiceEndPoint,choice,1,1,散布死士已经被救走,N08_014_C090B_041,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,N08_014_C090B_041,PlayVideo_Ordinary,__endPoint,,-1,,,BE08,EndPoint_NormalEnd,__entryPoint
storyline_002_16cbaf3d79,N09_014_C090C_042,PlayVideo_Ordinary,__endPoint,,-1,,,BE09,EndPoint_NormalEnd,__entryPoint
storyline_002_16cbaf3d79,014_C090A_040,PlayVideo_Ordinary,__endPoint,,-1,,,Link_Lead,Link_Lead,__entryPoint
storyline_002_16cbaf3d79,Link_Lead,Link_Lead,__endPoint,,-1,,,CL100_014_043,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL100_014_043,ShowChoice,choiceEndPoint,choice,0,0,宫人们的流言,N10_014_C100A_044,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,全选选项,Function_Storyline_If,endPointElse,,-1,,,CL080_014_034,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,全选选项,Function_Storyline_If,endPointTrue,conditionGroup,0,,,014_038,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL110_014_046,ShowChoice,choiceEndPoint,choice,0,0,"舒妃不是外人,有话直说",N11_014_C110A_047,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL110_014_046,ShowChoice,choiceEndPoint,choice,1,1,"有外人在,怎能如此口无遮拦",014_C110B_048,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,N10_014_C100A_044,PlayVideo_Ordinary,__endPoint,,-1,,,BE10,EndPoint_NormalEnd,__entryPoint
storyline_002_16cbaf3d79,N11_014_C110A_047,PlayVideo_Ordinary,__endPoint,,-1,,,BE11,EndPoint_NormalEnd,__entryPoint
storyline_002_16cbaf3d79,014_C110B_048,PlayVideo_Ordinary,__endPoint,,-1,,,CL120_014_049,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL120_014_049,ShowChoice,choiceEndPoint,choice,0,0,幕后之人是皇后,014_C120A_050,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL120_014_049,ShowChoice,choiceEndPoint,choice,1,1,幕后之人是王皇后和萧舒妃,N12_014_C120B_051,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,N12_014_C120B_051,PlayVideo_Ordinary,__endPoint,,-1,,,BE12,EndPoint_NormalEnd,__entryPoint
storyline_002_16cbaf3d79,014_C120A_050,PlayVideo_Ordinary,__endPoint,,-1,,,CL130_014_052,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL130_014_052,ShowChoice,choiceEndPoint,choice,1,1,"让少量守卫在屋外,凌霄带更多守卫在屋内",014_C130B_054,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_C130A_053,PlayVideo_Ordinary,__endPoint,,-1,,,014_055,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_C130B_054,PlayVideo_Ordinary,__endPoint,,-1,,,014_055,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_055,PlayVideo_Ordinary,__endPoint,,-1,,,引蛇出洞,Function_Storyline_If,__entryPoint
storyline_002_16cbaf3d79,引蛇出洞,Function_Storyline_If,endPointTrue,conditionGroup,0,,,014_056,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,引蛇出洞,Function_Storyline_If,endPointElse,,-1,,,N13_014_057,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,N13_014_057,PlayVideo_Ordinary,__endPoint,,-1,,,BE13,EndPoint_NormalEnd,__entryPoint
storyline_002_16cbaf3d79,B14_014_C150A_059,PlayVideo_Ordinary,__endPoint,,-1,,,BE14,EndPoint_BadEnd,__entryPoint
storyline_002_16cbaf3d79,014_C130B_088,PlayVideo_Ordinary,__endPoint,,-1,,,endpoint_chapter106_2,EndPoint_ChapterReport,__entryPoint
storyline_002_16cbaf3d79,CL010_014_002,ShowChoice,choiceEndPoint,choice,0,0,邀徐敏慧和你同乘,014_C010A_003,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL010_014_002,ShowChoice,choiceEndPoint,choice,1,1,默许徐敏慧上礼治的车,014_C010B_004,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL130_014_052,ShowChoice,choiceEndPoint,choice,0,0,"让凌霄带更多守卫在屋外,少量守卫在屋内",014_C130A_053,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,chapter106_BeginPlay,EntryPoint_ChapterStart,__endPoint,,-1,,,014_001,PlayVideo_TraceBack,__entryPoint
storyline_002_16cbaf3d79,B02_014_C020A_009,PlayVideo_Ordinary,__endPoint,,-1,,,B01_014_061,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,B01_014_061,PlayVideo_Ordinary,__endPoint,,-1,,,BE02,EndPoint_BadEnd,__entryPoint
storyline_002_16cbaf3d79,B03_014_C020C_011,PlayVideo_Ordinary,__endPoint,,-1,,,B01_014_062,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,B01_014_062,PlayVideo_Ordinary,__endPoint,,-1,,,BE03,EndPoint_BadEnd,__entryPoint
storyline_002_16cbaf3d79,014_001,PlayVideo_TraceBack,__endPoint,,-1,,,CL010_014_002,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,014_C060A_022,PlayVideo_Ordinary,__endPoint,,-1,,,endpoint_chapter106_1,EndPoint_SubChapterReport,__entryPoint
storyline_002_16cbaf3d79,014_029,PlayVideo_TraceBack,__endPoint,,-1,,,CL080_014_034,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL100_014_043,ShowChoice,choiceEndPoint,choice,2,2,萧舒妃,014_C100C_045,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL100_014_043,ShowChoice,choiceEndPoint,choice,1,1,萧舒妃的儿子素节,N15_014_C100B_090,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,N15_014_C100B_090,PlayVideo_Ordinary,__endPoint,,-1,,,NE15,EndPoint_NormalEnd,__entryPoint
storyline_002_16cbaf3d79,014_C100C_045,PlayVideo_Ordinary,__endPoint,,-1,,,CL101_014_091,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL101_014_091,ShowChoice,choiceEndPoint,choice,0,0,释放善意,N16_014_C101A_092,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL101_014_091,ShowChoice,choiceEndPoint,choice,1,1,释放恶意,014_C101B_093,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,N16_014_C101A_092,PlayVideo_Ordinary,__endPoint,,-1,,,NE16,EndPoint_NormalEnd,__entryPoint
storyline_002_16cbaf3d79,014_C101B_093,PlayVideo_Ordinary,__endPoint,,-1,,,QL102_014_094,PlayVideo_TraceBack,__entryPoint
storyline_002_16cbaf3d79,QL102_014_094,PlayVideo_TraceBack,endPointSuccess,,-1,,,014_095,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_095,PlayVideo_Ordinary,__endPoint,,-1,,,CL110_014_046,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,014_056,PlayVideo_Ordinary,__endPoint,,-1,,,CL150_014_058,ShowChoice,__entryPoint
storyline_002_16cbaf3d79,CL150_014_058,ShowChoice,choiceEndPoint,choice,0,0,坐实皇后刺杀昭仪的罪名,B14_014_C150A_059,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL150_014_058,ShowChoice,choiceEndPoint,choice,1,1,栽赃给皇后一个更大的罪名,014_C130B_088,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,Q140_014_012,PlayVideo_TraceBack,endPointSuccess,,-1,,,014_013,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,Q140_014_012,PlayVideo_TraceBack,endPointFail,,-1,,,B04_014_014,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_006,PlayVideo_Ordinary,__endPoint,,-1,,,BE01,EndPoint_BadEnd,__entryPoint
storyline_002_16cbaf3d79,CL090_014_039,ShowChoice,choiceEndPoint,choice,2,2,散布死士已经招供,014_C090A_040,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL090_014_039,ShowChoice,choiceEndPoint,choice,0,0,散布死士已经死亡,N09_014_C090C_042,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL080_014_034,ShowChoice,choiceEndPoint,choice,0,0,编造他已中毒将死,Global_GlobalVariableSetter,Global_GlobalVariableSetter,__entryPoint
storyline_002_16cbaf3d79,Global_GlobalVariableSetter,Global_GlobalVariableSetter,__endPoint,,-1,,,014_C080A_035,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL080_014_034,ShowChoice,choiceEndPoint,choice,1,1,编造他的靠山王皇后已死,Global_GlobalVariableSetter,Global_GlobalVariableSetter,__entryPoint
storyline_002_16cbaf3d79,Global_GlobalVariableSetter,Global_GlobalVariableSetter,__endPoint,,-1,,,014_C080B_036,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,CL080_014_034,ShowChoice,choiceEndPoint,choice,2,2,编造他全族已被王皇后灭口,Global_GlobalVariableSetter,Global_GlobalVariableSetter,__entryPoint
storyline_002_16cbaf3d79,Global_GlobalVariableSetter,Global_GlobalVariableSetter,__endPoint,,-1,,,014_C080C_037,PlayVideo_Ordinary,__entryPoint
storyline_002_16cbaf3d79,014_C080A_035,PlayVideo_Ordinary,__endPoint,,-1,,,全选选项,Function_Storyline_If,__entryPoint
storyline_002_16cbaf3d79,014_C080B_036,PlayVideo_Ordinary,__endPoint,,-1,,,全选选项,Function_Storyline_If,__entryPoint
storyline_002_16cbaf3d79,014_C080C_037,PlayVideo_Ordinary,__endPoint,,-1,,,全选选项,Function_Storyline_If,__entryPoint
storyline_002_f995c3c3da,015_C010C_005,PlayVideo_Ordinary,__endPoint,,-1,,,015_007,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL011_015_061,ShowChoice,choiceEndPoint,choice,0,0,让所有人看看礼忠的真面目,B11_015_C011A_062,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C030_015_013,ShowChoice,choiceEndPoint,choice,0,0,任由他撞,015_C030A_014,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C030_015_013,ShowChoice,choiceEndPoint,choice,1,1,"踏入朝堂,高声怒喝",015_C030B_015,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,015_C030A_014,PlayVideo_Ordinary,__endPoint,,-1,,,B03_015_017,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,015_C030B_015,PlayVideo_Ordinary,__endPoint,,-1,,,CL040_015_019,ShowChoice,__entryPoint
storyline_002_f995c3c3da,CL040_015_019,ShowChoice,choiceEndPoint,choice,0,0,"你受命于先帝,不应忤逆陛下",015_C040A_020,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,CL040_015_019,ShowChoice,choiceEndPoint,choice,1,1,你应当坐在这龙椅上才是,015_C040B_022,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,015_C040A_020,PlayVideo_Ordinary,__endPoint,,-1,,,B03_015_C030A_021,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,015_C040B_022,PlayVideo_Ordinary,__endPoint,,-1,,,015_023,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,N06_015_C050A_027,PlayVideo_Ordinary,__endPoint,,-1,,,BE01,EndPoint_NormalEnd,__entryPoint
storyline_002_f995c3c3da,N05_015_C050B_028,PlayVideo_Ordinary,__endPoint,,-1,,,BE03,EndPoint_NormalEnd,__entryPoint
storyline_002_f995c3c3da,015_C050C_026,PlayVideo_Ordinary,__endPoint,,-1,,,C060_015_029,ShowChoice,__entryPoint
storyline_002_f995c3c3da,C060_015_029,ShowChoice,choiceEndPoint,choice,0,0,难道你不知此战是为陛下？,C060A_030,PlayVideo_Ordinary,__entryPoint
storyline_002_f995c3c3da,C060_015_029,ShowChoice,choiceEndPoint,choice,2,2,Key:ShowChoice-C060_015_029.choice+2.choiceText,B08_015_032,PlayVideo_Ordinary,__entryPoint
